	220		261		190
1032	0.3658690155	1032	-0.01236034743	1032	0.2587850392
1031	0.3664793968	1031	-0.01236643642	1031	0.2615097761
1030	0.3670615256	1030	-0.01232124772	1030	0.2643132806
1029	0.3677137196	1029	-0.0122572314	1029	0.2670328915
1028	0.3683443069	1028	-0.01219139341	1028	0.2697504163
1027	0.3690414131	1027	-0.01215514727	1027	0.2724920213
1026	0.3696628511	1026	-0.01218726486	1026	0.2751503587
1025	0.370316565	1025	-0.0121928025	1025	0.2778765857
1024	0.3710156679	1024	-0.01226488128	1024	0.2803781927
1023	0.3717008233	1023	-0.01230559684	1023	0.2830213606
1022	0.3724810779	1022	-0.01228264812	1022	0.2855201066
1021	0.3732300699	1021	-0.01218540221	1021	0.2880249321
1020	0.3739048541	1020	-0.01211008802	1020	0.290561378
1019	0.3747446835	1019	-0.01205087453	1019	0.2930779159
1018	0.375551939	1018	-0.01199120004	1018	0.2953711152
1017	0.3763247132	1017	-0.01192698348	1017	0.2977190018
1016	0.3771566451	1016	-0.01186280791	1016	0.300031364
1015	0.3779917359	1015	-0.01187968347	1015	0.3022466004
1014	0.3788414598	1014	-0.01181620639	1014	0.3044543266
1013	0.379662782	1013	-0.0117698526	1013	0.3066520691
1012	0.3804753423	1012	-0.01169653237	1012	0.3087927401
1011	0.38133955	1011	-0.01163620409	1011	0.3108677864
1010	0.3822179139	1010	-0.0114808334	1010	0.3129107952
1009	0.3830711246	1009	-0.01133463718	1009	0.3149220049
1008	0.383931905	1008	-0.0112774875	1008	0.3168600202
1007	0.384840548	1007	-0.01135884691	1007	0.318785876
1006	0.3857823908	1006	-0.01148879994	1006	0.3206993043
1005	0.3866432011	1005	-0.01162960101	1005	0.3224489987
1004	0.3875316978	1004	-0.01167904399	1004	0.324241519
1003	0.38847211	1003	-0.01176582184	1003	0.3259640932
1002	0.3893968165	1002	-0.01180854812	1002	0.3276252747
1001	0.3903805315	1001	-0.01186059136	1001	0.3293147683
